id,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
0,okex,BTC_USDT,BTC-USDT,1min,2021-04-22 19:00:00,53384.0,53205.6,53384.0,53205.6,10.93210175,N
1,okex,BTC_USDT,BTC-USDT-210507,1min,2021-04-22 19:00:00,53387.7,53210.6,53397.4,53210.6,736.0,Y
2,okex,BTC_USDT,BTC-USDT-SWAP,1min,2021-04-22 19:00:00,53370.3,53203.3,53370.3,53203.3,2976.0,Y
3,okex,BTC_USDT,BTC-USDT-210924,1min,2021-04-22 19:00:00,58911.0,58706.6,58924.9,58706.6,838.0,Y
4,okex,BTC_USDT,BTC-USDT-210430,1min,2021-04-22 19:00:00,53424.0,53229.5,53424.0,53221.5,734.0,Y
5,okex,BTC_USDT,BTC-USDT-210625,1min,2021-04-22 19:00:00,55825.3,55628.9,55826.5,55626.2,2133.0,Y
6,okex,BTC_USDT,BTC-USDT-210423,1min,2021-04-22 19:00:00,53387.7,53210.6,53397.4,53210.6,736.0,Y
7,okex,BTC_USDT,BTC-USDT-SWAP,1min,2021-04-22 18:59:00,53493.7,53385.6,53493.7,53385.6,868.0,Y
8,okex,BTC_USDT,BTC-USDT-210430,1min,2021-04-22 18:59:00,53506.5,53414.6,53506.5,53388.9,140.0,Y
9,okex,BTC_USDT,BTC-USDT-210507,1min,2021-04-22 18:59:00,53507.4,53401.0,53507.4,53391.4,578.0,Y
10,okex,BTC_USDT,BTC-USDT-210924,1min,2021-04-22 18:59:00,59052.5,58926.1,59064.7,58914.2,455.0,Y
11,okex,BTC_USDT,BTC-USDT-210625,1min,2021-04-22 18:59:00,55963.4,55826.0,55963.4,55826.0,1349.0,Y
12,okex,BTC_USDT,BTC-USDT-210423,1min,2021-04-22 18:59:00,53507.4,53401.0,53507.4,53391.4,578.0,Y
13,okex,BTC_USDT,BTC-USDT,1min,2021-04-22 18:59:00,53489.6,53384.0,53492.0,53384.0,4.40423657,N
14,okex,BTC_USDT,BTC-USDT-210423,1min,2021-04-22 18:58:00,53430.2,53493.0,53510.0,53430.2,368.0,Y
15,okex,BTC_USDT,BTC-USDT-210924,1min,2021-04-22 18:58:00,58970.6,59061.2,59085.9,58970.6,667.0,Y
16,okex,BTC_USDT,BTC-USDT-210507,1min,2021-04-22 18:58:00,53430.2,53493.0,53510.0,53430.2,368.0,Y
17,okex,BTC_USDT,BTC-USDT-210430,1min,2021-04-22 18:58:00,53433.1,53535.4,53539.2,53433.1,230.0,Y
18,okex,BTC_USDT,BTC-USDT-210625,1min,2021-04-22 18:58:00,55878.7,55962.5,55964.2,55863.0,2434.0,Y
19,okex,BTC_USDT,BTC-USDT-SWAP,1min,2021-04-22 18:58:00,53407.3,53489.4,53493.8,53407.3,697.0,Y
20,okex,BTC_USDT,BTC-USDT,1min,2021-04-22 18:58:00,53415.3,53482.5,53486.8,53410.4,4.81597264,N
21,okex,BTC_USDT,BTC-USDT-SWAP,1min,2021-04-22 18:57:00,53442.7,53406.3,53457.9,53365.6,5722.0,Y
22,okex,BTC_USDT,BTC-USDT-210924,1min,2021-04-22 18:57:00,59006.9,58961.5,59032.7,58911.0,1056.0,Y
23,okex,BTC_USDT,BTC-USDT-210430,1min,2021-04-22 18:57:00,53471.7,53420.1,53493.7,53396.7,561.0,Y
24,okex,BTC_USDT,BTC-USDT-210423,1min,2021-04-22 18:57:00,53445.0,53427.8,53481.2,53384.8,633.0,Y
25,okex,BTC_USDT,BTC-USDT-210507,1min,2021-04-22 18:57:00,53445.0,53427.8,53481.2,53384.8,633.0,Y
26,okex,BTC_USDT,BTC-USDT-210625,1min,2021-04-22 18:57:00,55913.4,55878.1,55948.6,55831.7,2359.0,Y
27,okex,BTC_USDT,BTC-USDT,1min,2021-04-22 18:57:00,53434.7,53415.3,53456.4,53366.8,21.59130149,N
28,okex,BTC_USDT,BTC-USDT-210625,1min,2021-04-22 18:56:00,55878.8,55922.2,55944.9,55837.0,1110.0,Y
29,okex,BTC_USDT,BTC-USDT-210430,1min,2021-04-22 18:56:00,53454.2,53496.8,53496.8,53406.3,407.0,Y
30,okex,BTC_USDT,BTC-USDT-210507,1min,2021-04-22 18:56:00,53392.6,53458.6,53458.6,53370.0,486.0,Y
31,okex,BTC_USDT,BTC-USDT-210423,1min,2021-04-22 18:56:00,53392.6,53458.6,53458.6,53370.0,486.0,Y
32,okex,BTC_USDT,BTC-USDT-SWAP,1min,2021-04-22 18:56:00,53402.1,53448.8,53448.8,53365.6,440.0,Y
33,okex,BTC_USDT,BTC-USDT,1min,2021-04-22 18:56:00,53402.6,53438.5,53439.4,53370.0,3.87906936,N
34,okex,BTC_USDT,BTC-USDT-210924,1min,2021-04-22 18:56:00,58907.4,59002.7,59023.0,58907.4,517.0,Y
35,okex,BTC_USDT,BTC-USDT-210430,1min,2021-04-22 18:55:00,53345.1,53404.1,53479.2,53335.4,327.0,Y
36,okex,BTC_USDT,BTC-USDT-210625,1min,2021-04-22 18:55:00,55774.2,55875.4,55916.7,55750.6,2078.0,Y
37,okex,BTC_USDT,BTC-USDT,1min,2021-04-22 18:55:00,53334.4,53400.0,53439.2,53328.2,8.03824812,N
38,okex,BTC_USDT,BTC-USDT-210507,1min,2021-04-22 18:55:00,53320.7,53386.9,53447.7,53312.1,684.0,Y
39,okex,BTC_USDT,BTC-USDT-SWAP,1min,2021-04-22 18:55:00,53339.1,53364.9,53437.7,53326.7,2831.0,Y
40,okex,BTC_USDT,BTC-USDT-210423,1min,2021-04-22 18:55:00,53320.7,53386.9,53447.7,53312.1,684.0,Y
41,okex,BTC_USDT,BTC-USDT-210924,1min,2021-04-22 18:55:00,58848.4,58947.9,59023.7,58842.8,751.0,Y
