id,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
0,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 19:00:00,0.289586,0.287004,0.289626,0.286075,3573170.80232,N
1,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 19:00:00,0.289694,0.287363,0.289825,0.286333,6382.0,Y
2,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 18:59:00,0.291043,0.289585,0.29105,0.289546,1352758.32372,N
3,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 18:59:00,0.291188,0.289708,0.291188,0.289708,2032.0,Y
4,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 18:58:00,0.289971,0.290972,0.291487,0.289854,1829134.94915,N
5,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 18:58:00,0.290008,0.291258,0.291498,0.289827,1932.0,Y
6,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 18:57:00,0.290658,0.290045,0.290895,0.28947,1079.0,Y
7,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 18:57:00,0.290756,0.28993,0.290913,0.289332,1410044.746305,N
8,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 18:56:00,0.289885,0.29093,0.291195,0.289481,1810240.350898,N
9,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 18:56:00,0.289903,0.290856,0.29118,0.289298,1539.0,Y
10,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 18:55:00,0.288794,0.289866,0.290086,0.288679,3087.0,Y
11,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 18:55:00,0.288856,0.29,0.290154,0.288755,2391971.927325,N
12,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 18:54:00,0.290619,0.288858,0.291257,0.288414,2686879.211536,N
13,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 18:54:00,0.290823,0.288824,0.291,0.288342,4970.0,Y
14,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 18:53:00,0.289998,0.290645,0.291554,0.289881,1508531.302526,N
15,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 18:53:00,0.29,0.290816,0.291642,0.289949,2476.0,Y
